Abbreviation,Pronunciation
kubectl,Kube Control
PyTorch,Pie Torch
NumPy,Num Pie
SciPy,Sigh Pie
CUDA,Koo dah
Redis,Red iss
Django,Jang go
GNU,Guh noo
LaTeX,Lay tek or Lah tek
MySQL,My Ess Que El
PostgreSQL,Post gress que el
RStudio,Are Studio
Vue.js,View Jay Ess
Kubernetes,Koo ber net eez
Anaconda,Anna con dah
Scala,Ska lah
MQTT,Em Que Tee Tee
GraphQL,Graph Que El
FastAPI,Fast Ay Pee Eye
PyPI,Pie Pee Eye
XAML,Zam el
YAML,Yam el
systemd,System Dee
sudo,Soo doh
cron,Cron
chmod,Che mod
chown,Che own
mkdir,Make dir
rmdir,Remove dir
IPv6,Eye Pee Version Six
CIDR,Cider
BGP,Bee Gee Pee
EIGRP,Eye Grip
OSPF,Oh Ess Pee Eff
CSRF,See Surf
CORS,Cores
JWT,Jay Double You Tee
OAuth,Oh Auth
SAML,Sam el
LDAP,El Dap
RBAC,Are Back
AWS,Ay Double You Ess
GCP,Gee Cee Pee
Azure,Azh er
NPM,En Pee Em
webpack,Web pack
Nginx,Engine X
Jenkins,Jen kins
GitLab,Git Lab
Maven,May ven
JIRA,Jee rah
SonarQube,Sonar Cube
Grafana,Grah fah nah
Kibana,Ki bah nah
Logstash,Log stash
RxJS,Rex Jay Ess
NgRx,Engine Rex
Redux,Ree ducks
Vuex,View Ex
TensorFlow,Tensor Flow
Keras,Ker as
scikit learn,Sigh kit learn
Pandas,Pan daz
Matplotlib,Mat plot lib
OpenCV,Open See Vee
YOLO,Yo lo
BERT,Bert
GPT,Gee Pee Tee
LSTM,El Ess Tee Em
CNN,See En En
RNN,Are En En
GAN,Gan
VAE,Vee Ay Ee
ResNet,Res Net
MNIST,Em Nist
CIFAR,See far
ImageNet,Image Net
TFLite,Tee Eff Lite
ONNX,On ix
MLOps,Em El Ops
AIOps,Ay Eye Ops
DevOps,Dev Ops
GitOps,Git Ops
SecOps,Sec Ops
NoSQL,No Sequel
MongoDB,Mongo Dee Bee
Cassandra,Cass san dra
etcd,Et see dee
ZooKeeper,Zoo Keeper
Istio,Iss tee oh
Envoy,On voy
gRPC,Gee Are Pee See
protobuf,Proto buff
Thrift,Thrift
RabbitMQ,Rabbit Em Queue
Kafka,Kaf ka
ZeroMQ,Zero Em Queue
HAProxy,Ha Proxy
LXC,El Ex See
cgroups,See Groups
systemctl,System Control
journalctl,Journal Control
iptables,Eye Pee Tables
tcpdump,Tee Cee Pee Dump
strace,Ess Trace
dtrace,Dee Trace
valgrind,Val grind
GDB,Gee Dee Bee
LLDB,El El Dee Bee
CMake,See Make
Bazel,Bah zel
Gradle,Gray dul
SBT,Ess Bee Tee
PIP,Pip
Conda,Con dah
virtualenv,Virtual Env
venv,Vee Env
pyenv,Pie Env
nvm,En Vee Em
rvm,Are Vee Em
SDKMAN,Ess Dee Kay Man
minikube,Mini kube
kubeadm,Kube admin
Helm,Helm
Argo,Ar go
Tekton,Tek ton
Anthos,An thos
EKS,Ee Kay Ess
AKS,Ay Kay Ess
GKE,Gee Kay Ee
OpenShift,Open Shift
Rancher,Ran cher
containerd,Container Dee
CRI O,Cree Oh
runc,Run See
OCI,Oh See Eye
LXD,El Ex Dee
KVM,Kay Vee Em
QEMU,Queue Ee Em You
Xen,Zen
ESXi,Ee Ess Ex Eye
NSX,En Ess Ex
VxLAN,Vee Ex Lan
BGP,Bee Gee Pee
OSPF,Oh Ess Pee Eff
SRv6,Ess Are Version Six
MPLS,Em Puls
SDN,Ess Dee En
NFV,En Eff Vee
OpenFlow,Open Flow
P4,Pee Four
XDP,Ex Dee Pee
eBPF,Ee Bee Pee Eff
DPDK,Dee Pee Dee Kay
VPP,Vee Pee Pee
OpenVSwitch,Open Vee Switch
OpenDaylight,Open Day Light
ONOS,Oh Nos
OpenStack,Open Stack
Neutron,New tron
Nova,No vah
Cinder,Sin der
Swift,Swift
Glance,Glance
Keystone,Key stone
Heat,Heat
Ceph,Seff
GlusterFS,Gluster Eff Ess
Lustre,Luster
HDFS,Aitch Dee Eff Ess
S3,Ess Three
EBS,Ee Bee Ess
EFS,Ee Eff Ess
NFS,En Eff Ess
SMB,Ess Em Bee
iSCSI,Eye Skuzzy
FCoE,Eff Coe Ee
